"","Date","state","value","region"
"468","Mar 28","UT",0,"West"
"469","Mar 29","UT",0,"West"
"470","Mar 30","UT",2,"West"
"471","Mar 31","UT",1,"West"
"472","Apr 1","UT",2,"West"
"473","Apr 2","UT",0,"West"
"474","Apr 3","UT",0,"West"
"475","Apr 4","UT",1,"West"
"476","Apr 5","UT",0,"West"
"477","Apr 6","UT",5,"West"
"478","Apr 7","UT",0,"West"
"479","Apr 8","UT",0,"West"
"480","Apr 9","UT",0,"West"
"481","Apr 10","UT",4,"West"
"482","Apr 11","UT",1,"West"
"483","Apr 12","UT",0,"West"
"484","Apr 13","UT",0,"West"
"485","Feb 29","WA",1,"West"
"486","Mar 1","WA",1,"West"
"487","Mar 2","WA",4,"West"
"488","Mar 3","WA",3,"West"
"489","Mar 4","WA",1,"West"
"490","Mar 6","WA",1,"West"
"491","Mar 7","WA",5,"West"
"492","Mar 8","WA",2,"West"
"493","Mar 9","WA",4,"West"
"494","Mar 10","WA",2,"West"
"495","Mar 11","WA",5,"West"
"496","Mar 12","WA",2,"West"
"497","Mar 13","WA",6,"West"
"498","Mar 14","WA",3,"West"
"499","Mar 15","WA",2,"West"
"500","Mar 16","WA",6,"West"
"501","Mar 17","WA",4,"West"
"502","Mar 18","WA",14,"West"
"503","Mar 19","WA",8,"West"
"504","Mar 20","WA",9,"West"
"505","Mar 21","WA",11,"West"
"506","Mar 22","WA",1,"West"
"507","Mar 23","WA",15,"West"
"508","Mar 24","WA",13,"West"
"509","Mar 25","WA",9,"West"
"510","Mar 26","WA",15,"West"
"511","Mar 27","WA",28,"West"
"512","Mar 28","WA",14,"West"
"513","Mar 29","WA",6,"West"
"514","Mar 30","WA",27,"West"
"515","Mar 31","WA",3,"West"
"516","Apr 1","WA",22,"West"
"517","Apr 2","WA",15,"West"
"518","Apr 3","WA",22,"West"
"519","Apr 4","WA",26,"West"
"520","Apr 5","WA",28,"West"
"521","Apr 6","WA",34,"West"
"522","Apr 7","WA",22,"West"
"523","Apr 8","WA",27,"West"
"524","Apr 9","WA",25,"West"
